isValid,review
-1,客服非常专业、热情、素质高。这次购物很愉快。快递也不错
-1,质量非常好。手感也很好。包装也非常精美！物有所值！
1,简单，颜色也跟图片上一样，没色差。很满意哦。
1,衣服收到了，就是面料有点太薄了，儿子穿着样式还可以，要是厚一点就好了，不知道起球吧？
1,还可以，就是物流慢了点，更可气的是快递公司既然给我送丢了，居然是我自己找回来的，我也是醉了
1,穿着有点不舒服，号买小了，挺好看的，就是太薄了，不适合现在穿
1,不怎么样，味道也很大，还薄，荷包也是向后的
1,还好！没有什么好说的！太薄了！我以为白色的是布！那又不是布！以后洗多肯定会退色的！
1,衣服我可能买小了一点，穿起来有点儿短，而且很薄
-1,挺好看的，显瘦，物流超级快，客服态度也很好。
-1,版型很好，上身很显瘦，我这身材难得买到合适的衣服
-1,衣服收到了，很漂亮，穿着很舒服，显得特别有气质，
-1,衣服质量很好，穿在身上很舒服，很合身，喜欢
-1,非常满意！本来只是抱着买来试试看，反正便宜的心情，万万没想到，是我希望买到的打底裤类型，不用多说了
-1,质量非常好，发货速度快，客服服务态度好，版型好，
-1,衣服面料很舒服，版型也不错，价钱友便宜，值得买
-1,衣服很漂亮，大小合适，款式漂亮，没有色差，价格实惠
-1,衣服很漂亮，店主也蛮好的，下次还会观临本店。包装好，物流快。
-1,衣服穿上大小合适，做工也很不错，衣服布料用的很足，实物跟描述的一样，很满意！
-1,衣服收到了，质量非常好，穿在身上效果很好，和卖家描述的一样，满意。
-1,衣服很好，质量也很好，价格又便宜，穿上也很合适，客服服务也好，这次是很美好的一次购物
-1,宝贝已收到，和卖家描述的完全一致，卖家服务很周到，整体来说非常满意。也是一次很愉快的一次购物。重点是宝贝超给力的
-1,挺好的，物流很快，客服挺好，很喜欢，没有异味，布料也很喜欢
1,"百搭的外套，柔软，舒服，质量很棒。客服的服务态度很好。总之很满意"
1,换成红色的了，感觉红色的好看，非常棒，满意
-1,"东东8错，质量很好，贴身穿也很舒服，很棒！"
-1,做工挺细致的 没有线头之类的 穿着正合适 很满意
-1,衣服做工还是可以的，没有什么线头，面料柔软舒服，价格实惠，厚度正是我想要的
-1,非常好，质量好，掌柜服务态度也非常的好，大大的赞一个～ 很好
-1,很喜欢，质量也很好，穿着漂亮又舒服，价格实惠，很满意
-1,"性价比很高，我很满意 很满意的购物，物流好给力 赞一个评价5分"
-1,宝贝很好，我们家其他的人都看了都说很好，非常的棒，下次还会关注的饿哦。
-1,衣服比我想象中的好，穿在身上很舒服，穿上很合身，，版型很正，厚薄合适，衣服颜色正，做工精细
-1,衣服很好！穿着很舒服！还有小礼物！以后还会关注！
-1,今天刚到试穿了一下，非常满意，喜欢极了，下次还来
-1,这件衣服挺好的，质量也好，我穿着试了一下，都好
-1,同事介绍买的，一看就是不会起球的料子，非常完美，这衣服好的没毛病！！
-1,棉质很厚实，质量真的杠杠滴，给我带来的惊喜，穿起来特别显年轻
-1,宝贝很满意，手感也好，款式新颖，瞬间年轻十岁，快递也给力
-1,第二件了呢。。好看。。真喜欢。。衣服料子很好。。很舒服。。现在穿正好。。快递小哥有点帅哦
-1,宝贝收到以后超惊喜，质量很好，上身效果也非常不错，总之就是棒，赞赞赞
-1,物流很快而且 面料真的很舒服！！！ 摸起来真的很舒服 这点还蛮惊喜的  这个价格挺合算的
-1,物流很快，实物和描述的一致，质量很好，很合身满意
-1,衣服很赞，特别是面料，含棉量应该很高，青春活力的~
-1,很好，质量很好，包装结实，发货速度，价格美丽
-1,上身效果非常好，质量很好，还一直关注的，满分
-1,卖家服务态度好，质量蛮好的，就是自己太胖了
1,很满意，只是模特穿上更性感时尚一些?物流快，质量也好，就是买大了，嘿嘿！
1,衣服打开好大一股气味，看起质量还可以，大小也合适，就是气味大
1,商品质量一般，没想像的好，服务差，买了两件只给寄了一件，京东的东西不能买
1,衣服容易沾毛，并且洗过两次以后衣服就褪色。黑色的衣服上满是灰白色的条纹，掉色太严重了，以后再也不相信京东了，失望！！！！！！！！
-1,衣服很漂亮，穿着也很合适，颜色跟图片描述的一样，质量还可从。
-1,质量很好， 质量很好， 质量很好， 质量很好， 质量很好， 质量很好，很喜欢
1,这套面料穿在身上蛮舒服的，冰冰的，尺寸比一般的小了一点，比较合身，不是宽松版，总体上身效果不错。
1,衣服穿上很漂亮，而且卖家态度也很好，当时拍了一件穿着有点紧，卖家直接免费给换了一件，穿上朋友都说好，下回还会来的
-1,已经是第二次购买这家的衣服了，穿上也很大气高端
-1,和图片效果一样，不用再犹豫了，想买的快着手吧
-1,不错，与描述的一个样！大小合适，质量不错。值得推荐
-1,衣服刚刚收到了，物流很快，衣服质量不错大小刚合适
-1,衣衣收到了，物流很快，和描述一样，款式做工都不错
-1,穿着很舒服，大小很合适，质量很不错，物流很快的
-1,打开一看就很满意，料子也好，大小也好，快递也快，满意，穿着很有气质，有点胖的人穿应该也可以
-1,衣服非常好，大小合适，料子很好，穿上很舒服，也有气质。
-1,衣服大小合适 质量不错 穿上很舒服 很喜欢
-1,宝贝收到，质量不错，大小正好，穿着舒服，是一次满意购买。
-1,质量不错 穿上很舒服 大小合适 款式漂亮 卖家服务态度好 发货快
-1,衣服质量很好 穿上大小合适也很舒服 物流也很给力
-1,做工精细细节处理的很好，店家服务态度很好，满意
-1,质量不错，是我想要的款式，大小合适，值得购买！
-1,非常满意的一次购物，下次需要还会再来，全5分
-1,大小合适，有喜欢的朋友可放心购买 服务态度也很好 穿上很显瘦，推荐大家购买
-1,大小合适，款式时尚大方有档次，物有所值，个人非常喜欢
-1,面料质量不错，穿着身上效果特好，版型非常修身的，尺码正好，店家服务态度很好，很满意
-1,质量不错，很满意，样式也很好。与描述的一样。
-1,掌柜的服务态度真好，发货很快。商品质量也相当不错。太喜欢了，谢谢！
-1,质量不错，穿着也挺合适的，还便宜，物有所值！五分好评
-1,超好看的运动套装，好百搭显瘦~~质量很不错，摸的就舒服，颜色很好看！款式时尚！朋友们见了都说好，特别的漂亮~~美美的，
-1,衣服很好看，很显瘦哦，出去玩，穿上很舒服，超级喜欢啦。
-1,挺好看、不错！料子很舒服、整体做工挺好的！
-1,衣服面料很好，厚度也刚好，款式显瘦很合适，大爱！
-1,衣服上身效果很好，穿着也很舒服，物流也挺快的，推荐！
-1,衣服版型不错，上身效果好，面料柔软，手感也好
-1,质量不错，很软，厚度这个时间穿刚刚好，轻便舒服
-1,收到了衣服棒棒哒好看料子乜舒服这天穿刚刚好休闲又时尚
-1,运动服真的很好，我很喜欢，质量夜挺好，还怕穿着不好看，真是多余担心了
-1,衣服挺好的，上身效果也不错。服务态度好，物流挺快的
-1,收到衣服 我就迫不及待的试了试，感觉还好，穿上合适 料子也舒服
1,挺漂亮的一套衣服。穿着很宽松。主要是在家里带孩子穿着舒服。
-1,衣服上身效果挺好，穿着也舒服 ，尺码穿着正合适
-1,穿上身挺好看的，质量也不错，厚薄适中，春天刚好
-1,衣服上身效果挺好，穿着也舒服，客服介绍的码穿着正合适
-1,质量很好，没有色差，很合身，穿起很舒服休闲，美美的
-1,衣服质量不错，没有色差，穿着大小合适，很舒服，很喜欢
-1,手感柔软，棉质细腻，朋友已经问我要走链接了&hellip;&hellip;，想买的妞儿，不用犹豫了&hellip;&hellip;
-1,面料柔软，衣服穿着舒服、合适，薄款，适合春天。
-1,质量和款式都不错，很漂亮，穿着很舒服，美美哒，以后会多光顾这个店，希望多多优惠
-1,上身效果不错，质量也很好，我穿着正好，有活力。同事都说穿着好看。
-1,衣服上身效果非常棒，裤子穿着挺显瘦，值得大家参考一下
-1,面料感觉还不错，穿着感觉挺瘦的，物流也挺快的，喜欢。
-1,穿着很舒服，软软的，很宽松，款式很显瘦，很满意
-1,我穿着刚好合适，质量还不错，款式简单好看容易搭配，做工挺细致的，没有线头，重点是我朋友说我穿着好看，还能说什么呢，必须五分好评
-1,满意的网购，颜色好，款式好！客服态度好！物流快
-1,质量很好，与卖家描述的一样，摸起来很舒服，很柔软，穿着正合适!真是太实惠了
-1,第一眼就喜欢这款，料子虽然不是厚实版的，到穿着特舒服。喜欢的抓紧
-1,衣服很不错，质感很光滑，这个价位也是物有所值！款式也挺时尚
-1,衣服不错，布料很滑。颜色也很正，没有色差。大小也合适。一切都OK。
-1,衣服是棉的 ，款式也挺好看的，很喜欢的，同事都问我在哪买的
-1,宝贝颜色不错，料子好，穿上很舒服，大小合适，时尚大方，满意
-1,挺好的，我挺喜欢的，买了很多他家的衣服。穿着很舒服，料子也好
-1,很喜欢，今年很流行的运动风，面料款式都很赞。终于买到一套喜欢又合适的衣服了。
-1,穿着很舒服，面料很柔，是宽松的版行，夏天穿着比较透气。质量做工都很好。
-1,尺码刚刚好，上身效果非常好，面料很舒服，做工也不错，没有什么线头的
-1,衣服款式时尚，穿上也很舒服，面料不错的，满意的结果
-1,宝贝收到，很满意，质量很OK，码数刚刚好，穿着很舒服，下次一定在光顾贵店，好评?5星！
-1,衣服做工满意，线头很少，面料也很舒服，试穿了一下，挺有型，关键这价钱，性价比很高，好评是必须滴！
-1,衣服已收到，质量挺好的，做工很细致，保暖性很好，穿着也舒服，面料也不错， 物美价廉，非常满意。
-1,衣服质量挺好的，摸着很舒服，穿上也舒服，一到家，我就试了一下，很好
-1,摸起来质量不错，不知道穿着怎么样！不过第一眼挺喜欢！
-1,宝贝真不赖，感觉面料挺不错的，手感也好，穿上后感觉大小刚刚好
-1,衣服收到后很满意，很厚实，穿上很保暖，下次还回光顾哦
-1,挺厚实的，穿起来很软，很舒服，宽松版的，还不错
1,质量真是好，不掉毛，也不扎人，水洗了也不掉毛毛，拿到手很厚实有分量，很保暖，主要百搭
-1,不错的一次购物，一直担心质量不好，终于收到质量蛮好的，也很合身，喜欢的美美赶紧下单吧！
1,质量不错，几乎没有什么线头，挺厚实的，穿上很有型，
-1,质量绝对正品，这个价格好划算了。保暖，轻柔，天气再冷点非常适合。
-1,东西已收到，质量很好，不错，卖家服务态度又好，赞个
-1,收到了，质量挺好的，面料摸起来很舒服，做工也非常精细，款式很新颖，穿上去很时尚显瘦显高
-1,质量绝对正品，这个价格好划算了。保暖，轻柔，天气再冷点非常适合。
-1,衣服没有色差，质量也不错，这个价格买三件套真的很划算！还不错，总之很满意！
-1,穿着很合身，我还是挺喜欢的，面料也不错，价格也实惠，不错！
-1,店家发货很快，衣服穿上很大气，质量不错，面料手感也很好，很满意
-1,最近天气老忽冷忽热的，下手备一件，再降温了就不怕没得穿了。试了下很暖和，下水了没退色。
-1,颜色还挺不错的，没有色差，样式也好看，厚薄刚好，适合这个天气，主要穿上舒服
-1,做工精细，跟图片描述的一样，没有色差 布料不错，挺厚实的
-1,很讲诚信的卖家，面料不错，纯棉质量，穿上很舒服，款型穿上也好看，赞一个
-1,质量好，面料舒适，码数合适，发货速度快，客服态度不错，还会光顾，满意
-1,质量很好，面料不错，手感特别舒服，穿上挺有气质，大小合体，还会再次购买的
-1,衣服质量不错，款式也不错，好看，收藏店铺下次还会光临。快递也给力。好评！
-1,很不错哦，物流给力，宝贝面料舒适，无异味，很喜欢，还会光顾
-1,面料不错，颜色很好，质量真心不错很满意好评
-1,非常满意，面料不错，舒适透气，质量很好，卖家服务态度好，物流快！
-1,款式很好看，质量摸上去也是很不错，穿着很舒适，满意
-1,衣服做工很好，料子也不错，平整有型，穿上很酷
-1,颜色是很正的，厚厚的很保暖，价格也不错，满意
-1,面料很厚实，保暖不错，尺码很标准，面料也不错
-1,很惊喜，物流好快，没几天就到货，包装不错，宝贝很好看，
-1,宝贝收到了，真心的好，质量特别棒，我老公穿上特合适，谢谢卖家，态度很好，物流也很快
-1,很快就收到了，和描述的一样，做工很细致，质量非常好，穿着很漂亮，很舒服，非常喜欢， ，还有很满意看大家的评价都还不错。外型和质量目测都不错
-1,很好很不错，非常喜欢， 没有色差，挺满意 的 　
-1,衣服没有色差，质量也不错，这个价格买三件套真的很划算！还不错，总之很满意！
-1,三件套的套餐，质量很好，做工精细，面料柔软舒服，大小合适，满意。
-1,质量不错，几乎没有什么线头，挺厚实的，穿上很有型，
-1,很惊喜，物流好快，没几天就到货，包装不错，宝贝很好看，
-1,颜色是很正的，厚厚的很保暖，价格也不错，满意
1,主要是样式很好看，没有起球，冷水洗过了，没有发现褪色
-1,质量特别好，号码准确，发货物流快，很满意，谢谢。
-1,很好的一件，料子很舒服，又不透，价格也很便宜，满意
-1,真的很不错，质量好，颜色正，穿上很合身，样子新颖，卖家很实在
-1,衣服很好，很适合，没有色差，穿起来也很舒服，布料很好，物流超快，很满意
-1,衣服质量很好，并且没有异味，颜色和图片上的很吻合，造型不错
-1,"我只是网购的消费者，原本有很多顾虑，担心货到不好，我信你一回，但是收到货后，衣服真的不错，穿起来很舒服，以后认定你了，老板，祝你生意兴隆了！"
-1,衣服真的很不错，质量很好的，面料也很舒服柔软
-1,真的很不错，质量好，颜色正，穿上很合身，样子新颖，卖家很实在
-1,面料手感很好，软软的，这个价格超值的，上身效果还不错的说
-1,很讲诚信的卖家，面料不错，穿上很舒服，款型穿上也好看，赞一个
-1,衣服没有色差，质量也不错，这个价格买三件套真的很划算！还不错，总之很满意！
-1,穿着休闲 又显瘦 卖家服务态度也好 觉对给好评
-1,衣服收到 了。穿起来蛮舒服的。质量不错，掌柜人不错，服务很算不错的。
-1,这款我亮，常满意，质量好，面料很好，挺暖和的，不错！
-1,东西已收到，质量很好，不错，卖家服务态度又好，赞个
-1,不错，很好， 发货的速度也很快， 卖家的服务态度也很好 好评
-1,衣服收到 了。穿起来蛮舒服的。面料不错，很划算！
-1,衣服质量很好摸起来手感也不错穿上感觉美美哒
-1,真的很超值，质量很好，是软的那种，真的是物美价廉！喜欢的亲快点下手吧！
-1,真的很满意，颜色也很正，客服推荐的码子也很合身，本来想买其他颜色的，衣服太抢手了，付款的时候都没的挑了，还好这个也很不错！
-1,衣服很好，很合身，面料很软穿着舒服满意，物美价廉，没色差，挺喜欢的！
-1,很合身。面料很柔软。穿上很修身，这款是情侣款的，我们穿上去，他们都羡慕妒忌恨了！
-1,宝贝与店家描述的一致，质量非常好，做工精细，面料不错，样式很大方，穿起来很有型，很显瘦，一下子年轻了不少。
-1,穿着很舒服 活动价实惠 面料不错的 很满意
-1,质量超好，比想象中的更满意，衣服厚暖和，挺适合孩子穿的。
-1,样式不错，料子很舒服，颜色很鲜艳好看，而且不会褪色。
-1,很厚实，双十一买的，价格还可以，店家态度很好，忘写男装还是女装了，还打电话来询问，以后搞活动还来你家买
-1,衣服质量很好，面料手感好，保暖性好穿起来非常暖和，款式新颖
-1,衣服质量不错滴，面料很舒服，老公穿上很帅气，非常喜欢！
-1,衣服不错，面料很舒服，刚刚好，客服服务很周到
-1,套装的面料轻柔舒适，很适合现在的季节，衣衣时尚 休闲，还有朋友要的！
-1,质量很好，有质感，是那种不会起球的面料，搭配穿也挺好看的
-1,是买给老公早上晨跑穿的。很合身，价格实惠，质量好，快递也挺快
-1,物流超快，店家服务好，衣服款式新颖，穿着舒适，特有运动范。
-1,快速速度挺快的，服务也好，衣服和裤子都挺好，穿着也舒适，逛了好多家，还是这家比较满意。
-1,衣服质量很好，物流很快，颜色就是没有图上那么鲜艳，不过好好不影响，
-1,穿着舒服，质量还不错，比想象的还要好的，物流快
-1,厚实保暖性很好 做工精致漂亮 不气球 面料很舒服 尺码正 服务非常好
-1,这款衣服的质量挺好的版型也不错，颜色也蛮正，没有一点色差的感觉
-1,非常满意，穿起来好暖和啊！又显瘦。运动起来又很轻便。
-1,真心好看 又简单 里面有绒绒的 摸起来舒服也保暖 刚好一身
-1,无色差，做工精细，面料柔软，针脚平整，简直是大爱！毫不犹豫收藏了店铺，以后会常来的！
-1,超快，衣服样式很新颖，给姐姐买的，穿上漂亮，面料也很好，赞！
-1,衣服很不错，三件套很实用，妈妈很喜欢。样式和颜色都不错，没有起球的啊，也没有色差，还担心货的质量，真是闲的没事干了，下次再来买哦
-1,衣服款式新颖，质量不错，大小合适，布料厚实，包装好，没有色差，物流快服务好，物有所值，值得购买。 满意
-1,这款运动服样式美观、做工精细、面料考究，穿着得体、舒适、漂亮。卖家服务好，物流速度快。
-1,我买的三件套收到啦！挺满意的，挺好的，谢谢，我们的合作，下次合作愉快。
-1,的确发货很快，收到试穿了一下，穿着很舒服，款式新颖时尚.快递很快，后来我拿去洗了，放进洗衣机洗的，没掉色，也不起球的，质量是 不错的哦，赞赞
-1,非常棒，衣服合身，质量不错，价格公道！服务不错！超赞
-1,非常满意的一次购物，面料厚实手感是棉的，老公穿得很舒服，显年轻，保暖性强。冬天运动不愁。
-1,衣服质量很好，很厚实，穿着很舒服。颜色也正，爸妈很满意。
-1,衣服很不错，款式也很漂亮 ?穿着挺美，不错。
-1,不错非常喜欢，老公大爱哦，物流也很快，双12拍的，价格优惠，还会光临
1,衣服质量好好，连线头都没有。不错。料子很舒服。颜色也很棒
-1,可以可以！很好，料子很舒服，同桌说我穿的很好看，就像年轻了许多岁数一样，总体说还是不错的。
-1,真心的好，穿着很舒服，也比较厚实，这种天穿正好，下次还会再来光顾的！还有补充一句，商家服务态度特好！
1,很好看，面料很舒服。不会很薄，这个季节可以单穿。洗了一次，没有起球。嘻嘻感觉很划算！男朋友说我穿上很可爱～好
-1,衣衣质量很好，厚实，版型也很好看，由于事先没有和卖家沟通，自己拍了L，结果太大了，收到之后和卖家说了，很快就给换了M码，服务很好
-1,我在这里要先谢谢卖家，我想换一下衣服的型号，卖家很爽快的就答应了，并且帮忙办理了！东西到了两天了，回复的有点晚了。东西很厚实，手感也不错，质量很好，很满意的一次购物，下次还来，非常满意！很喜欢
-1,买了两件衣服，很不错，性价比高，小孩很喜欢，色彩手感都很满意，以后会经常光顾！
-1,衣服很好，挺厚实的，质量超赞，细节也很好，真的超值啦
-1,这款衣服我是老顾客第三次买了，上半年买过两套那是秋装没加棉的这次买的是冬装有加棉的质量很好，所以再买一套冬装有加棉的面料柔软是全棉的不褪色不变形也不起球款式好看值得放心购买！
-1,朋友推荐的，活动买嗯很划算，面料非常厚实，做工也好没有线头，一看就是好衣服怎么这么便宜呢，谢谢老板。还来买
-1,没有难闻的气味。 做工不错哦，摸上去挺舒服的，收到很满意。 偏厚，挺厚实的。 跟图片上的秒数一样，基本没色差。
-1,衣服不错，质量很好。很合身，天冷了，正好穿上！很好的店家，强烈推荐
-1,衣服和漂亮，女儿很喜欢，面料舒服，没有异味。买了三件，都不错。
-1,质量灰常好，比较厚实的棉，穿着很舒服，出乎意料啊
1,不得不说，真的太好看了，显得我特别小清新，而且面料很柔软，一点不扎扎，超级喜欢，买的人都会变美喔
-1,特别棒！摸起来有手感，用料不错哦，应该不会容易起毛的
-1,衣服收到了，发货很快，质量也很好，穿着很舒服，不错不错。
-1,衣服收到了，质量不错，款式也非常好，很喜欢！
-1,宝贝收到了，质量不错，很漂亮，快递也给力，面料很舒服呢。
-1,衣衣收到，版形好看，质量不错，物流也快，好评.！
-1,衣服质量挺不错的， 很有质感， 穿上朋友都说好看， 很喜欢。
-1,衣服质量不错，手感很好，面料不错，颜色也很正，商家态度点赞。
-1,第二次购买了， 卫衣质量很棒 ，穿上很舒服。
-1,东西收到了，面料很舒服，质量不错，超值，推荐购买！
-1,颜色不错和图片的一样，款式也漂亮，面料也很好
-1,衣服收到了，很好，质量不错，快递很给力。客服也很好，赞。
-1,质量不错，布料摸上去也舒服，做工也很精细，喜欢
-1,衣服收到了，很好，质量不错，值得购买~喜欢，好评了~！！
-1,宝贝收到，款式很喜欢，质量不错，手感也很舒服！
-1,穿着很舒服，质量很好，价格实惠，还会再来的。
-1,老婆很喜欢，穿上很舒服，款式很时尚，值得推荐。
-1,衣服质量不错！穿上很舒服！值得购买的一款衣服！还在观望的赶紧下手咯！
-1,衣服很漂亮，穿上很舒服，质量不错，很喜欢，都说穿上有气质。
-1,衣服收到了，很好，质量不错，快递很给力。客服也很好，赞，~
-1,衣服质量不错，跟图片一样好看，穿的舒服真的很不错
-1,物流真快，帮朋友买的，朋友很喜欢，价廉物美，质量不错，服务态度好，满分。
-1,质量很好，发货很快，衣服很舒服，颜色好看无色差，价格实惠，真的是物美价廉。
-1,好漂亮呦！面料很好，穿上很舒服，做工也很精细，款式很不错，喜欢
-1,很好看的 然后质量很好 比想象中的好很喜欢呢
-1,衣服收到了，上身效果挺好的，穿上很舒服，衣服有弹力，还不错，满意，5分。
-1,卫衣不错，穿上很暖和，颜色也很正，下次还来。
-1,衣服很不错，款式也很新颖，穿上很舒服，价钱很合理，商家服务态度很好
-1,不错比我想象中的要好，版型穿出来很修身，不错值得购买
-1,\n面料不错 摸着好舒服 穿起来特别有皮质 显身材呢
-1,质量很好，做工也很精细，面料挺不错的，很适合。
-1,衣服不错，版型，颜色超好，值得给大家推荐，衣服穿起来很有气质，很厚实。
-1,颜色不错，跟图片一样，质量也非常好，穿上不会起球，也暖和。
-1,颜色不错和图片的一样，款式也漂亮，面料也很好
-1,质量不错 款式很漂亮 上身很不错 颜色无色差
-1,颜色正，款式也不错，质量也是杠杠的，超喜欢！下次还来
-1,质量不错，面料很舒服，版型也很好，很喜欢！
-1,质量不错，很合身，面料很柔软舒服，很值这个价
-1,还可以，我老婆很喜欢，穿上特别漂亮，赞一个。
-1,衣服收到了，质量不错，物流挺快，卖家服务很好
-1,质量不错，穿起来也好看，和描述的一致，发货快，不错
-1,很棒的衣服，手感也好，穿着舒服，现在来穿刚好，能买到这样的衣服很不错，好评！
-1,发货速度快，大衣质量很好，款式漂亮，上身效果很赞，非常喜欢
1,质量太一般，布料很薄，裤子穿了会起球的那种，真的是一分钱一分货
-1,不错不错，这个价钱买的这个衣服非常漂亮。然后这个面料也是我想要的，非常棒哦。
-1,布料很好！摸着很软舒服，相信穿起来也会很舒适的，值得购买。
-1,衣服特别好面料很舒服，穿在身上很显气质很显瘦！
-1,衣服很好，是我想要的样子，和图片一样，质量特别好
-1,衣服挺好的，质量不错，穿着舒适，和图片上一样！
-1,面料手感不错，款式简洁大方，显瘦，穿上挺漂亮的。
-1,衣服看起来不错，面料也柔软，款式漂亮，才收到，还没上身。
-1,衣服收到了，比较满意，有需要还会在来。好评
-1,帮朋友买的，衣服质量很好，她很喜欢，好评！
-1,衣服不错！质量杠杠滴！布料很柔软顺滑，非常喜欢！
-1,刚收到衣服，质量真心觉得不错，物美价廉值得购买！
-1,面料质感不错，穿身上挺舒服的，闺蜜都说好看！
-1,穿上显瘦，挺好看的，大家都说好看，准备帮朋友再买一套。
-1,衣服特别好，非常漂亮，很喜欢，准备再买一套，真的很好。
-1,质量不错，摸着感觉挺舒服的，是我喜欢的款哦！
1,上衣我挺喜欢的。就是裤子已经起球了，还粘好多杂东西。。。。
1,款式还好，就是质量很差，起球球，穿2次都不好意思出门了
-1,衣服大了，质量好！售后特别好，快递小哥也辛苦！春节都在为大家服务！感谢！
1,买大了，店家服务态度特别好，大过年的还上班，由于买大了，也没有收我运费，很快又调换了！感谢！
-1,宝贝到了，物流也快，款式和面料都还行，网购还是京东自营的好！一百个?
1,東西很一般 超級薄 和圖片差距大 不建議購买
1,这款衣服很漂亮面料很舒服，天暖和的时候穿刚刚好
